filename,rgb_path,fluo_path,registered_rgb_train_path,registered_rgb_visual_path,overlay_path,status,message
00428.jpg,D:\multimodel\data\apply_rgbtest\00428.jpg,D:\multimodel\data\apply_graytest\00428.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00428.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00428.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00428.jpg,success,
00429.jpg,D:\multimodel\data\apply_rgbtest\00429.jpg,D:\multimodel\data\apply_graytest\00429.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00429.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00429.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00429.jpg,success,
00430.jpg,D:\multimodel\data\apply_rgbtest\00430.jpg,D:\multimodel\data\apply_graytest\00430.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00430.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00430.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00430.jpg,success,
00431.jpg,D:\multimodel\data\apply_rgbtest\00431.jpg,D:\multimodel\data\apply_graytest\00431.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00431.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00431.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00431.jpg,success,
00432.jpg,D:\multimodel\data\apply_rgbtest\00432.jpg,D:\multimodel\data\apply_graytest\00432.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00432.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00432.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00432.jpg,success,
00433.jpg,D:\multimodel\data\apply_rgbtest\00433.jpg,D:\multimodel\data\apply_graytest\00433.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00433.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00433.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00433.jpg,success,
00434.jpg,D:\multimodel\data\apply_rgbtest\00434.jpg,D:\multimodel\data\apply_graytest\00434.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00434.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00434.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00434.jpg,success,
00435.jpg,D:\multimodel\data\apply_rgbtest\00435.jpg,D:\multimodel\data\apply_graytest\00435.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00435.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00435.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00435.jpg,success,
00436.jpg,D:\multimodel\data\apply_rgbtest\00436.jpg,D:\multimodel\data\apply_graytest\00436.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00436.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00436.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00436.jpg,success,
00437.jpg,D:\multimodel\data\apply_rgbtest\00437.jpg,D:\multimodel\data\apply_graytest\00437.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00437.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00437.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00437.jpg,success,
00438.jpg,D:\multimodel\data\apply_rgbtest\00438.jpg,D:\multimodel\data\apply_graytest\00438.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00438.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00438.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00438.jpg,success,
00439.jpg,D:\multimodel\data\apply_rgbtest\00439.jpg,D:\multimodel\data\apply_graytest\00439.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00439.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00439.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00439.jpg,success,
00440.jpg,D:\multimodel\data\apply_rgbtest\00440.jpg,D:\multimodel\data\apply_graytest\00440.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00440.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00440.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00440.jpg,success,
